trial,hold_label,phase,control_mode,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,F_target_N,F_N,F_error_N,d_actual_mm,mark10_pos_mm,t_rel_s,control_action,d_after_action_mm,move_delta_mm,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.792200,-0.007800,1.4200,-2.0300,4.6319,none,1.4200,0.0000,-1106.4400,9472.9590,4830.3200,-270.2839,2875.1437,1626.2020,10690.7976
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.791700,-0.008300,1.4200,-2.0300,4.7213,none,1.4200,0.0000,-1107.6420,9475.3650,4831.2880,-271.4859,2877.5497,1627.1700,10693.4913
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.791900,-0.008100,1.4200,-2.0300,4.8080,none,1.4200,0.0000,-1107.6420,9465.7490,4832.2560,-271.4859,2867.9337,1628.1380,10685.4094
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.790300,-0.009700,1.4200,-2.0300,4.8963,none,1.4200,0.0000,-1109.4450,9468.7510,4833.2230,-273.2889,2870.9357,1629.1050,10688.6930
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.790000,-0.010000,1.4200,-2.0300,4.9839,none,1.4200,0.0000,-1105.8390,9474.1600,4834.1920,-269.6829,2876.3447,1630.0740,10693.5495
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.789800,-0.010200,1.4200,-2.0300,5.0720,none,1.4200,0.0000,-1101.6320,9471.7600,4832.2560,-265.4759,2873.9447,1628.1380,10690.1136
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.789200,-0.010800,1.4200,-2.0300,5.1601,none,1.4200,0.0000,-1110.0460,9469.9520,4836.1270,-273.8899,2872.1367,1632.0090,10691.1327
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.790800,-0.009200,1.4200,-2.0300,5.2483,none,1.4200,0.0000,-1106.4400,9466.9540,4832.2560,-270.2839,2869.1387,1628.1380,10686.3523
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.791500,-0.008500,1.4200,-2.0300,5.3372,none,1.4200,0.0000,-1111.2480,9472.9590,4830.3200,-275.0919,2875.1437,1626.2020,10691.2963
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.792400,-0.007600,1.4200,-2.0300,5.4245,none,1.4200,0.0000,-1103.4350,9467.5520,4829.3510,-267.2789,2869.7367,1625.2330,10685.2581
