trial,hold_label,phase,control_mode,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,d_target_mm,d_actual_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,3.9306,1.947000,-1127.4750,9655.6630,2957.2400,-274.8918,3413.2456,869.3413,10161.1169
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,4.0183,1.953900,-1129.8790,9658.6710,2961.1110,-277.2958,3416.2536,873.2123,10165.3692
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,4.1064,1.947900,-1128.0760,9661.6740,2955.3040,-275.4928,3419.2566,867.4053,10166.3328
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,4.1944,1.949900,-1125.0710,9655.6630,2971.7600,-272.4878,3413.2456,883.8613,10165.0858
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,4.2826,1.945000,-1129.8790,9663.4770,2957.2400,-277.2958,3421.0596,869.3413,10168.8093
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,4.3713,1.944800,-1124.4700,9661.6740,2961.1110,-271.8868,3419.2566,873.2123,10167.6229
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,4.4587,1.938100,-1125.0710,9652.6560,2964.9840,-272.4878,3410.2386,877.0853,10160.2501
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,4.5467,1.940100,-1128.0760,9655.0610,2961.1110,-275.4928,3412.6436,873.2123,10161.7389
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,4.6350,1.938500,-1126.2730,9656.8640,2947.5590,-273.6898,3414.4466,859.6603,10159.3118
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,4.7226,1.941000,-1132.8840,9659.2690,2963.0480,-280.3008,3416.8516,875.1493,10166.8361
