trial,hold_label,phase,control_mode,d_target_mm,d_actual_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,9.2934,2.940200,1113.6520,-6598.9760,10331.4710,392.0694,-7383.1970,5798.2445,12309.5897
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,9.3813,2.939800,1118.4600,-6603.1840,10345.9840,396.8774,-7387.4050,5812.7575,12324.4625
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,9.4693,2.939700,1114.2530,-6597.1750,10330.4960,392.6704,-7381.3960,5797.2695,12307.8603
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,9.5574,2.939000,1115.4550,-6599.5780,10339.2100,393.8724,-7383.7990,5805.9835,12316.5715
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,9.6455,2.938000,1116.6580,-6595.3730,10335.3380,395.0754,-7379.5940,5802.1115,12311.1771
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,9.7333,2.940400,1119.6620,-6595.9730,10336.3040,398.0794,-7380.1940,5803.0775,12312.5823
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,9.8211,2.939200,1119.0610,-6600.1780,10338.2390,397.4784,-7384.3990,5805.0125,12316.4050
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,9.9093,2.938700,1118.4600,-6601.3830,10341.1460,396.8774,-7385.6040,5807.9195,12319.4363
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,9.9976,2.939500,1116.0560,-6600.1780,10338.2390,394.4734,-7384.3990,5805.0125,12316.1324
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,10.0853,2.939800,1119.0610,-6604.9890,10337.2690,397.4784,-7389.2100,5804.0425,12318.1698
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,10.1738,2.939400,1118.4600,-6595.3730,10335.3380,396.8774,-7379.5940,5802.1115,12311.3407
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,10.2613,2.938600,1113.6520,-6599.5780,10336.3040,392.0694,-7383.7990,5803.0775,12313.9689
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,10.3493,2.939000,1113.0510,-6601.9840,10338.2390,391.4684,-7386.2050,5805.0125,12316.8284
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,10.4374,2.937000,1119.0610,-6598.9760,10333.4020,397.4784,-7383.1970,5800.1755,12311.7009
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,10.5254,2.936700,1119.0610,-6595.3730,10329.5300,397.4784,-7379.5940,5796.3035,12306.5199
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,10.6133,2.936500,1114.8540,-6600.1780,10343.0770,393.2714,-7384.3990,5809.8505,12320.0849
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,10.7013,2.935500,1114.2530,-6597.7760,10338.2390,392.6704,-7381.9970,5805.0125,12314.6820
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,10.7901,2.937200,1115.4550,-6591.1650,10337.2690,393.8724,-7375.3860,5804.0425,12310.4357
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,10.8773,2.939300,1119.0610,-6598.3760,10330.4960,397.4784,-7382.5970,5797.2695,12308.9403
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,10.9653,2.937100,1116.6580,-6599.5780,10339.2100,395.0754,-7383.7990,5805.9835,12316.6805
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,11.0533,2.937300,1120.8650,-6597.7760,10328.5600,399.2824,-7381.9970,5795.3335,12307.1580
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,11.1413,2.935900,1117.8590,-6592.9680,10334.3680,396.2764,-7377.1890,5801.1415,12309.1835
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,11.2293,2.936000,1116.0560,-6601.3830,10348.8900,394.4734,-7385.6040,5815.6635,12325.7196
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,11.3173,2.935600,1114.2530,-6598.9760,10336.3040,392.6704,-7383.1970,5803.0775,12313.7007
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,11.4053,2.935700,1110.6470,-6595.9730,10330.4960,389.0644,-7380.1940,5797.2695,12306.8901
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,11.4935,2.936000,1114.2530,-6604.3860,10333.4020,392.6704,-7388.6070,5800.1755,12314.1655
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,11.5815,2.935200,1116.6580,-6598.3760,10341.1460,395.0754,-7382.5970,5807.9195,12317.6618
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,11.6693,2.934500,1118.4600,-6597.1750,10329.5300,396.8774,-7381.3960,5796.3035,12307.4311
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,11.7573,2.935000,1116.6580,-6598.9760,10340.1760,395.0754,-7383.1970,5806.9495,12317.1689
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,11.8454,2.934500,1113.0510,-6600.7810,10327.5940,391.4684,-7385.0020,5794.3675,12307.2495
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,11.9333,2.936200,1121.4650,-6605.5890,10343.0770,399.8824,-7389.8100,5809.8505,12323.5844
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,12.0212,2.935500,1112.4510,-6603.7860,10339.2100,390.8684,-7388.0070,5805.9835,12318.5551
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,12.1091,2.933200,1119.6620,-6597.1750,10337.2690,398.0794,-7381.3960,5804.0425,12314.0364
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,12.1976,2.933700,1117.8590,-6598.3760,10337.2690,396.2764,-7382.5970,5804.0425,12314.5160
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,12.2863,2.934100,1115.4550,-6603.1840,10340.1760,393.8724,-7387.4050,5806.9495,12319.3149
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,12.3733,2.933200,1117.8590,-6591.1650,10345.0180,396.2764,-7375.3860,5811.7915,12317.1613
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,12.4613,2.934100,1119.6620,-6596.5750,10335.3380,398.0794,-7380.7960,5802.1115,12312.0939
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,12.5493,2.932900,1113.0510,-6600.7810,10330.4960,391.4684,-7385.0020,5797.2695,12309.6848
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,12.6378,2.932600,1117.2580,-6600.1780,10337.2690,395.6754,-7384.3990,5804.0425,12315.4271
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,12.7253,2.931800,1120.2630,-6602.5840,10334.3680,398.6804,-7386.8050,5801.1415,12314.5551
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,12.8141,2.930500,1120.2630,-6598.3760,10334.3680,398.6804,-7382.5970,5801.1415,12312.2994
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,12.9016,2.930100,1113.6520,-6600.1780,10340.1760,392.0694,-7384.3990,5806.9495,12317.5407
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,12.9896,2.932400,1112.4510,-6595.3730,10333.4020,390.8684,-7379.5940,5800.1755,12309.1709
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,13.0773,2.932600,1122.0660,-6602.5840,10327.5940,400.4834,-7386.8050,5794.3675,12309.0351
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,13.1653,2.932300,1114.8540,-6602.5840,10334.3680,393.2714,-7386.8050,5801.1415,12314.0642
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,13.2533,2.932400,1114.2530,-6600.7810,10334.3680,392.6704,-7385.0020,5801.1415,12313.0431
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,13.3414,2.931400,1115.4550,-6600.1780,10342.1110,393.8724,-7384.3990,5808.8845,12319.3283
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,13.4295,2.931400,1117.2580,-6597.1750,10336.3040,395.6754,-7381.3960,5803.0775,12313.0079
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,13.5177,2.930200,1114.2530,-6599.5780,10337.2690,392.6704,-7383.7990,5804.0425,12314.8333
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,13.6054,2.931500,1120.2630,-6598.9760,10340.1760,398.6804,-7383.1970,5806.9495,12317.4962
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,13.6938,2.931500,1116.0560,-6597.1750,10338.2390,394.4734,-7381.3960,5805.0125,12314.5233
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,13.7814,2.932200,1118.4600,-6589.3620,10335.3380,396.8774,-7373.5830,5802.1115,12308.1215
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,13.8695,2.929700,1119.0610,-6595.3730,10332.4320,397.4784,-7379.5940,5799.2055,12308.9558
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,13.9576,2.929800,1126.2730,-6595.9730,10341.1460,404.6904,-7380.1940,5807.9195,12317.2502
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,14.0454,2.930400,1113.0510,-6597.7760,10348.8900,391.4684,-7381.9970,5815.6635,12323.5163
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,14.1334,2.930400,1116.6580,-6600.1780,10333.4020,395.0754,-7384.3990,5800.1755,12312.1270
