Bx_uT,By_uT,Bz_uT
2.302199999999999818e+03,3.896398999999999887e+03,6.237791000000000167e+03
2.302500000000000000e+03,3.897148999999999887e+03,6.234886999999999716e+03
2.302050000000000182e+03,3.897000000000000000e+03,6.243117000000000189e+03
2.302050000000000182e+03,3.896849999999999909e+03,6.238760000000000218e+03
2.302648999999999887e+03,3.897300000000000182e+03,6.238519000000000233e+03
2.302648999999999887e+03,3.896699999999999818e+03,6.251100999999999658e+03
2.302349999999999909e+03,3.897750000000000000e+03,6.240453000000000429e+03
2.301898999999999887e+03,3.896699999999999818e+03,6.251828999999999724e+03
2.301599999999999909e+03,3.896550000000000182e+03,6.243841999999999643e+03
2.301750000000000000e+03,3.895800000000000182e+03,6.241422999999999774e+03
2.302500000000000000e+03,3.896099999999999909e+03,6.249167000000000371e+03
2.302500000000000000e+03,3.897898999999999887e+03,6.254972999999999956e+03
2.301750000000000000e+03,3.897000000000000000e+03,6.242631999999999607e+03
2.302050000000000182e+03,3.897300000000000182e+03,6.240210000000000036e+03
2.302050000000000182e+03,3.897750000000000000e+03,6.246746000000000095e+03
2.302648999999999887e+03,3.897599999999999909e+03,6.237791000000000167e+03
2.302050000000000182e+03,3.896699999999999818e+03,6.241177999999999884e+03
2.302349999999999909e+03,3.898050000000000182e+03,6.234407000000000153e+03
2.302648999999999887e+03,3.897449999999999818e+03,6.241663999999999760e+03
2.302050000000000182e+03,3.895949999999999818e+03,6.250858000000000175e+03
2.300849999999999909e+03,3.897750000000000000e+03,6.249167000000000371e+03
2.301449999999999818e+03,3.896550000000000182e+03,6.239244999999999891e+03
2.301300000000000182e+03,3.896550000000000182e+03,6.241422999999999774e+03
2.302648999999999887e+03,3.896099999999999909e+03,6.246988999999999578e+03
2.301599999999999909e+03,3.897300000000000182e+03,6.242873999999999796e+03
2.301300000000000182e+03,3.896398999999999887e+03,6.245295000000000073e+03
2.301898999999999887e+03,3.896699999999999818e+03,6.244327000000000226e+03
