time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,target,actual,F_target_N,F_N,F_error_N,d_preload_mm,d_actual_mm,d_mm,q_mm,mark10_pos_mm,t_rel_s,Bx_uT,By_uT,Bz_uT,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,note
1780411729.329348,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.075800,2.20000,2.075800,-0.124200,nan,4.1000,4.1000,,-7.8500,3.7099,-3327.1350,10145.4770,8408.0470,-3327.1350,10145.4770,8408.0470,-1852.6526,4751.2188,4468.4129,13590.2827,,,
1780411729.417851,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.075100,2.20000,2.075100,-0.124900,nan,4.1000,4.1000,,-7.8500,3.7982,-3327.1350,10143.6740,8412.8900,-3327.1350,10143.6740,8412.8900,-1852.6526,4749.4158,4473.2559,13591.9339,,,
1780411729.505698,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.075200,2.20000,2.075200,-0.124800,nan,4.1000,4.1000,,-7.8500,3.8864,-3328.9370,10143.0770,8420.6340,-3328.9370,10143.0770,8420.6340,-1854.4546,4748.8188,4480.9999,13596.7242,,,
1780411729.593680,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.074100,2.20000,2.074100,-0.125900,nan,4.1000,4.1000,,-7.8500,3.9746,-3332.5440,10147.2800,8404.1760,-3332.5440,10147.2800,8404.1760,-1858.0616,4753.0218,4464.5419,13590.5598,,,
1780411729.681605,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.075600,2.20000,2.075600,-0.124400,nan,4.1000,4.1000,,-7.8500,4.0625,-3329.5390,10140.0640,8414.8260,-3329.5390,10140.0640,8414.8260,-1855.0566,4745.8058,4475.1919,13591.0274,,,
1780411729.769935,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.075000,2.20000,2.075000,-0.125000,nan,4.1000,4.1000,,-7.8500,4.1507,-3332.5440,10140.0640,8410.9540,-3332.5440,10140.0640,8410.9540,-1858.0616,4745.8058,4471.3199,13589.3670,,,
1780411729.858301,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.074100,2.20000,2.074100,-0.125900,nan,4.1000,4.1000,,-7.8500,4.2388,-3333.1440,10145.4770,8416.7620,-3333.1440,10145.4770,8416.7620,-1858.6616,4751.2188,4477.1279,13597.1480,,,
1780411729.946482,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.074300,2.20000,2.074300,-0.125700,nan,4.1000,4.1000,,-7.8500,4.3272,-3332.5440,10144.2720,8411.9200,-3332.5440,10144.2720,8411.9200,-1858.0616,4750.0138,4472.2859,13593.1049,,,
1780411730.034353,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.075300,2.20000,2.075300,-0.124700,nan,4.1000,4.1000,,-7.8500,4.4153,-3325.3320,10137.6640,8415.7910,-3325.3320,10137.6640,8415.7910,-1850.8496,4743.4058,4476.1569,13588.8043,,,
1780411730.122803,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.075000,2.20000,2.075000,-0.125000,nan,4.1000,4.1000,,-7.8500,4.5033,-3335.5490,10139.4710,8411.9200,-3335.5490,10139.4710,8411.9200,-1861.0666,4745.2128,4472.2859,13590.2597,,,
