work_zone,model,session_id,cycle_index,d_target_mm,measured_delta_F_N,predicted_delta_F_N,abs_delta_F_residual_N,measured_delta_d_mm,predicted_delta_d_mm,abs_delta_d_residual_mm
3.0-3.8 mm,plain_magnetic_ridge,session_20260615_160438,1,3.35,-2.3344999999999994,1.460739123399648,3.7952391233996474,0.0,0.10047059854659901,0.10047059854659901
3.0-3.8 mm,plain_magnetic_ridge,session_20260615_160438,1,3.45,-2.5323,1.0691957770048024,3.6014957770048026,-0.020000000000000018,0.0641797235623689,0.08417972356236891
3.0-3.8 mm,plain_magnetic_ridge,session_20260615_160438,1,3.55,-2.0322999999999993,1.0620570726767262,3.0943570726767256,0.0,0.07801394560150499,0.07801394560150499
3.0-3.8 mm,plain_magnetic_ridge,session_20260615_160438,2,3.05,-2.3884,1.4676140030492553,3.856014003049255,-0.020000000000000018,0.0786480601989954,0.09864806019899541
3.0-3.8 mm,plain_magnetic_ridge,session_20260615_160438,2,3.15,-2.8383000000000003,1.2317193118919256,4.070019311891926,-0.040000000000000036,0.05523689149841848,0.09523689149841852
3.0-3.8 mm,plain_magnetic_ridge,session_20260615_160438,2,3.25,-2.798,1.1630338449498598,3.96103384494986,-0.010000000000000231,0.07621818066771135,0.08621818066771159
3.0-3.8 mm,plain_magnetic_ridge,session_20260615_160438,2,3.35,-2.6327,1.2036596683170835,3.8363596683170833,0.0,0.09405092765029588,0.09405092765029588
3.0-3.8 mm,plain_magnetic_ridge,session_20260615_160438,2,3.45,-2.8407999999999998,0.9839326383996898,3.8247326383996896,-0.020000000000000018,0.06599284825737906,0.08599284825737907
3.0-3.8 mm,plain_magnetic_ridge,session_20260615_160438,2,3.55,-2.261700000000001,0.996702772407339,3.25840277240734,0.0,0.07699029361805243,0.07699029361805243
3.0-3.8 mm,plain_magnetic_ridge,session_20260615_160438,3,3.05,-2.4448,1.3972990550192765,3.8420990550192764,-0.029999999999999805,0.07745845230965154,0.10745845230965134
3.0-3.8 mm,plain_magnetic_ridge,session_20260615_160438,3,3.15,-2.553699999999999,1.4471160141955348,4.000816014195534,0.0,0.10726998013199962,0.10726998013199962
3.0-3.8 mm,plain_magnetic_ridge,session_20260615_160438,3,3.25,-2.8796999999999997,1.1040293057339152,3.983729305733915,-0.020000000000000018,0.07407938117578183,0.09407938117578185
3.0-3.8 mm,plain_magnetic_ridge,session_20260615_160438,3,3.35,-2.6889000000000003,1.2086513104424856,3.897551310442486,0.0,0.09553859834474254,0.09553859834474254
3.0-3.8 mm,plain_magnetic_ridge,session_20260615_160438,3,3.45,-2.9232499999999995,0.950296196275346,3.8735461962753455,-0.020000000000000018,0.06661705932736695,0.08661705932736696
3.0-3.8 mm,plain_magnetic_ridge,session_20260615_160438,3,3.55,-3.0694,0.6058118255037481,3.675211825503748,-0.04999999999999982,0.03303623802601452,0.08303623802601434
3.0-3.8 mm,plain_magnetic_ridge,session_20260618_161152,1,3.05,-2.5864000000000003,1.3153726528639416,3.901772652863942,-0.020000000000000018,0.07276906002103356,0.09276906002103358
3.0-3.8 mm,plain_magnetic_ridge,session_20260618_161152,1,3.15,-2.6544999999999996,1.4863836759668185,4.140883675966818,0.020000000000000018,0.10281111430920875,0.08281111430920873
3.0-3.8 mm,plain_magnetic_ridge,session_20260618_161152,1,3.25,-2.4861000000000004,1.7096524531589132,4.195752453158914,0.040000000000000036,0.12827694786550126,0.08827694786550122
3.0-3.8 mm,plain_magnetic_ridge,session_20260618_161152,1,3.35,-2.763,1.3721183122060001,4.135118312206,0.020000000000000018,0.09906032352671845,0.07906032352671843
3.0-3.8 mm,plain_magnetic_ridge,session_20260618_161152,1,3.45,-3.0108999999999995,1.0877790980181743,4.098679098018174,-0.020000000000000018,0.06969530383036293,0.08969530383036295
3.0-3.8 mm,plain_magnetic_ridge,session_20260618_161152,1,3.55,-2.3241999999999994,1.1117045589893788,3.435904558989378,0.020000000000000018,0.0815478699889387,0.061547869988938686
3.0-3.8 mm,plain_magnetic_ridge,session_20260618_161152,2,3.05,-2.5469999999999997,1.270193327637438,3.8171933276374377,-0.020000000000000018,0.07083708352220919,0.0908370835222092
3.0-3.8 mm,plain_magnetic_ridge,session_20260618_161152,2,3.15,-2.631500000000001,1.4712961352965248,4.102796135296526,0.0,0.10099439552093292,0.10099439552093292
3.0-3.8 mm,plain_magnetic_ridge,session_20260618_161152,2,3.25,-2.931000000000001,1.265441644819708,4.196441644819709,-0.020000000000000018,0.07415655850815162,0.09415655850815163
3.0-3.8 mm,plain_magnetic_ridge,session_20260618_161152,2,3.35,-2.7254000000000005,1.4680075825294967,4.193407582529497,0.0,0.09824177028862158,0.09824177028862158
3.0-3.8 mm,plain_magnetic_ridge,session_20260618_161152,2,3.45,-2.9907999999999983,1.0693662323691377,4.060166232369136,0.0,0.06822546529328033,0.06822546529328033
3.0-3.8 mm,plain_magnetic_ridge,session_20260618_161152,2,3.55,-3.1265,0.6504092580309404,3.7769092580309405,-0.040000000000000036,0.03445951978027928,0.07445951978027932
3.0-3.8 mm,plain_magnetic_ridge,session_20260618_161152,3,3.05,-2.6947,1.3617101629152977,4.056410162915298,-0.020000000000000018,0.07225892025125358,0.0922589202512536
3.0-3.8 mm,plain_magnetic_ridge,session_20260618_161152,3,3.15,-2.7441000000000004,1.5679145782807549,4.312014578280755,0.020000000000000018,0.10327067647456367,0.08327067647456365
3.0-3.8 mm,plain_magnetic_ridge,session_20260618_161152,3,3.25,-2.5755999999999997,1.803255283699789,4.378855283699789,0.040000000000000036,0.1275844649150426,0.08758446491504257
3.0-3.8 mm,plain_magnetic_ridge,session_20260618_161152,3,3.35,-2.8724000000000007,1.4824873602817092,4.35488736028171,0.020000000000000018,0.09966687440189004,0.07966687440189002
3.0-3.8 mm,plain_magnetic_ridge,session_20260618_161152,3,3.45,-3.1067,1.0978846720958124,4.204584672095812,0.0,0.07000829866875469,0.07000829866875469
3.0-3.8 mm,plain_magnetic_ridge,session_20260618_161152,3,3.55,-2.3354,1.1203231893539076,3.4557231893539075,0.020000000000000018,0.08021786506441941,0.060217865064419396
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_201622,1,3.45,-3.0877,-3.1189249563205905,0.031224956320590636,0.0,-0.007572137054946193,0.007572137054946193
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_201622,1,3.55,-3.4910000000000014,-3.464767610620651,0.02623238937935035,-0.020000000000000018,-0.02386850401116991,0.003868504011169893
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_201622,1,3.65,-2.581999999999999,-2.575328099634902,0.0066719003650970166,0.0,0.007048860803946511,0.007048860803946511
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_201622,1,3.75,-2.5457,-2.5637179004711044,0.018017900471104298,-0.020000000000000018,-0.017807511210375715,0.002192488789624303
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_201622,1,3.85,-2.1869999999999976,-2.25721459700738,0.0702145970073822,-0.040000000000000036,-0.032515932248573076,0.007484067751426959
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_201622,1,3.95,-0.30049999999999955,-0.5281212198805036,0.2276212198805041,0.0,-0.012966727257764266,0.012966727257764266
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_201622,2,3.45,-3.0741999999999994,-3.11567893287614,0.04147893287614046,0.0,-0.013177355380758371,0.013177355380758371
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_201622,2,3.55,-3.4613000000000014,-3.44467388565962,0.016626114340381193,-0.020000000000000018,-0.027309137048574073,0.007309137048574055
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_201622,2,3.65,-2.556800000000001,-2.5561841920016732,0.000615807998327611,0.0,0.0036221725483192024,0.0036221725483192024
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_201622,2,3.75,-2.4830000000000005,-2.5064481686964406,0.023448168696440064,-0.020000000000000018,-0.016597942461212156,0.0034020575387878615
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_201622,2,3.85,-2.176000000000002,-2.2482745882841577,0.07227458828415578,-0.040000000000000036,-0.032540836661467676,0.00745916333853236
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_201622,2,3.95,-0.2873999999999981,-0.5201485697975485,0.23274856979755043,0.0,-0.013136897397119984,0.013136897397119984
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_201622,3,3.45,-3.0275999999999996,-3.0704387330768004,0.04283873307680075,0.0,-0.010914522997863774,0.010914522997863774
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_201622,3,3.55,-3.42295,-3.412310012161994,0.010639987838006348,-0.020000000000000018,-0.02703482010401359,0.007034820104013573
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_201622,3,3.65,-2.5342000000000002,-2.5359147813877456,0.00171478138774539,0.0,0.0031909706578088226,0.0031909706578088226
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_201622,3,3.75,-2.469199999999999,-2.492675186554159,0.023475186554160032,-0.020000000000000018,-0.017000454938357557,0.0029995450616424613
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_201622,3,3.85,-2.1484999999999985,-2.223756919774374,0.07525691977437532,-0.040000000000000036,-0.03218273530487403,0.007817264695126003
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_201622,3,3.95,-0.28855000000000075,-0.5192787263477108,0.23072872634771002,0.0,-0.012378389047133176,0.012378389047133176
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_204724,1,3.45,-3.3783499999999993,-3.4328343618348374,0.05448436183483807,-0.020000000000000018,-0.03128420746685201,0.011284207466851992
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_204724,1,3.55,-2.9208,-2.9202189962300142,0.0005810037699855997,0.0,0.0005107493192268997,0.0005107493192268997
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_204724,1,3.65,-2.984,-2.9866760727993054,0.0026760727993053735,-0.020000000000000018,-0.016084495097500984,0.003915504902499034
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_204724,1,3.75,-1.4928999999999988,-1.5991506798136328,0.10625067981363401,0.019999999999999574,0.010749256983928035,0.009250743016071539
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_204724,1,3.85,-0.6913499999999999,-0.9207151776856577,0.22936517768565778,0.020000000000000018,-0.01766884684461445,0.03766884684461447
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_204724,1,3.95,-0.2572499999999991,-0.4939906880979983,0.2367406880979992,0.0,-0.012503562668944035,0.012503562668944035
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_204724,2,3.45,-3.094199999999999,-3.15172216240145,0.05752216240145103,-0.009999999999999787,-0.018236205483201484,0.008236205483201697
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_204724,2,3.55,-2.5904500000000006,-2.5889932288932496,0.0014567711067510203,0.020000000000000018,0.021099808900954642,0.0010998089009546241
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_204724,2,3.65,-2.6256500000000003,-2.6340426358947298,0.008392635894729494,0.0,-0.002525592690193257,0.002525592690193257
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_204724,2,3.75,-2.564350000000001,-2.5926338481095694,0.02828384810956841,-0.020000000000000018,-0.02348547204285767,0.0034854720428576513
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_204724,2,3.85,-2.3042499999999997,-2.375264341218678,0.07101434121867811,-0.050000000000000266,-0.03795871110362903,0.012041288896371238
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_204724,2,3.95,-0.2718500000000006,-0.5044711095033954,0.23262110950339476,0.0,-0.011633142041407307,0.011633142041407307
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_204724,3,3.45,-3.0852000000000004,-3.1442737457176797,0.059073745717679316,-0.009999999999999787,-0.018039716892869873,0.008039716892870086
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_204724,3,3.55,-2.5862,-2.5864944097313955,0.00029440973139571724,0.020000000000000018,0.019971990596186817,2.8009403813200606e-05
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_204724,3,3.65,-2.635300000000001,-2.6426011049759346,0.007301104975933725,0.0,-0.003535882759814424,0.003535882759814424
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_204724,3,3.75,-2.5886500000000012,-2.6177696031941995,0.029119603194198262,-0.020000000000000018,-0.024716052630880725,0.004716052630880707
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_204724,3,3.85,-2.27365,-2.346240037787016,0.07259003778701612,-0.050000000000000266,-0.036972157568704755,0.013027842431295511
3.4-4.2 mm,apmd_local_identifiability_ridge,session_20260623_204724,3,3.95,-0.2748999999999988,-0.5043224715243895,0.22942247152439066,0.0,-0.011209457414365964,0.011209457414365964
3.4-4.2 mm,apmd_path_memory_ridge,session_20260623_201622,1,3.45,-3.0877,-1.8065166550426603,1.2811833449573395,0.0,0.02724474024829382,0.02724474024829382
3.4-4.2 mm,apmd_path_memory_ridge,session_20260623_201622,1,3.55,-3.4910000000000014,-1.8001919058050202,1.6908080941949812,-0.020000000000000018,0.01087500800472574,0.030875008004725757
