model,session_id,cycle_index,d_target_mm,measured_delta_F_N,predicted_delta_F_N,abs_delta_F_residual_N,measured_delta_d_mm,predicted_delta_d_mm,abs_delta_d_residual_mm
apmd_local_identifiability_dot_dual_mlp,session_20260624_164026,1,2.25,-1.12365,-1.0153544340247374,0.10829556597526269,0.0,0.030072325131327293,0.030072325131327293
apmd_local_identifiability_dot_dual_mlp,session_20260624_164026,1,2.35,-1.1633,-0.8945974424095171,0.2687025575904829,-0.040000000000000036,0.07557923768588592,0.11557923768588596
apmd_local_identifiability_dot_dual_mlp,session_20260624_164026,2,1.85,-0.9151,-0.9866932047430002,0.07159320474300013,-0.020000000000000018,0.05868746921488488,0.0786874692148849
apmd_local_identifiability_dot_dual_mlp,session_20260624_164026,2,1.95,-0.9670000000000001,-1.0628369854009465,0.09583698540094643,0.0,0.04059334937955694,0.04059334937955694
apmd_local_identifiability_dot_dual_mlp,session_20260624_164026,2,2.05,-1.0859,-0.9639156654249428,0.12198433457505731,-0.020000000000000018,0.04025794337512201,0.060257943375122025
apmd_local_identifiability_dot_dual_mlp,session_20260624_164026,2,2.15,-1.0180499999999997,-1.0307446595929566,0.012694659592956903,0.0,0.03234032297728806,0.03234032297728806
apmd_local_identifiability_dot_dual_mlp,session_20260624_164026,2,2.25,-1.1146499999999997,-1.0299756715746158,0.08467432842538392,-0.020000000000000018,0.01981956439297905,0.03981956439297907
apmd_local_identifiability_dot_dual_mlp,session_20260624_164026,2,2.35,-1.1631999999999998,-0.8987827332338876,0.2644172667661122,-0.040000000000000036,0.0750582240288491,0.11505822402884913
apmd_local_identifiability_dot_dual_mlp,session_20260624_164026,3,1.85,-0.9193999999999998,-1.0021735107401266,0.08277351074012684,-0.020000000000000018,0.05614178822533522,0.07614178822533524
apmd_local_identifiability_dot_dual_mlp,session_20260624_164026,3,1.95,-0.964,-1.06699171136433,0.10299171136432994,0.0,0.04104457124699734,0.04104457124699734
apmd_local_identifiability_dot_dual_mlp,session_20260624_164026,3,2.05,-1.0873999999999997,-0.971884915741354,0.11551508425864565,-0.020000000000000018,0.039597678482349075,0.05959767848234909
