model,session_id,cycle_index,d_target_mm,measured_delta_F_N,predicted_delta_F_N,abs_delta_F_residual_N,measured_delta_d_mm,predicted_delta_d_mm,abs_delta_d_residual_mm
apmd_local_identifiability_dot_ridge,session_20260623_204724,2,3.65,-2.6256500000000003,-2.6357458588071605,0.01009585880716024,0.0,-0.003204687537254891,0.003204687537254891
apmd_local_identifiability_dot_ridge,session_20260623_204724,2,3.75,-2.564350000000001,-2.59319476309814,0.02884476309813877,-0.020000000000000018,-0.0254363899661203,0.005436389966120281
apmd_local_identifiability_dot_ridge,session_20260623_204724,2,3.85,-2.3042499999999997,-2.3746780866761803,0.07042808667618061,-0.050000000000000266,-0.03399257088607843,0.016007429113921834
apmd_local_identifiability_dot_ridge,session_20260623_204724,2,3.95,-0.2718500000000006,-0.5015934986839525,0.22974349868395194,0.0,-0.0048575414888314405,0.0048575414888314405
apmd_local_identifiability_dot_ridge,session_20260623_204724,3,3.45,-3.0852000000000004,-3.146600661232382,0.06140066123238164,-0.009999999999999787,-0.017770543501563818,0.007770543501564031
apmd_local_identifiability_dot_ridge,session_20260623_204724,3,3.55,-2.5862,-2.589940793819178,0.0037407938191780232,0.020000000000000018,0.018560281723542182,0.0014397182764578353
apmd_local_identifiability_dot_ridge,session_20260623_204724,3,3.65,-2.635300000000001,-2.6440972496109385,0.00879724961093764,0.0,-0.004329131105432982,0.004329131105432982
apmd_local_identifiability_dot_ridge,session_20260623_204724,3,3.75,-2.5886500000000012,-2.618314707707423,0.02966470770742191,-0.020000000000000018,-0.02636700239457035,0.006367002394570331
apmd_local_identifiability_dot_ridge,session_20260623_204724,3,3.85,-2.27365,-2.345681975925597,0.07203197592559718,-0.050000000000000266,-0.03314212696386276,0.016857873036137505
apmd_local_identifiability_dot_ridge,session_20260623_204724,3,3.95,-0.2748999999999988,-0.5014138705690279,0.22651387056902905,0.0,-0.004887734238512298,0.004887734238512298
apmd_local_identifiability_dot_ridge,session_20260624_155402,1,1.85,-0.8934499999999999,-0.7874130554378453,0.10603694456215451,-0.020000000000000018,-0.014662760273333575,0.005337239726666443
apmd_local_identifiability_dot_ridge,session_20260624_155402,1,1.95,-0.9513499999999999,-0.7831138225625685,0.16823617743743147,0.0,-0.0014644210249581402,0.0014644210249581402
apmd_local_identifiability_dot_ridge,session_20260624_155402,1,2.05,-1.0730499999999998,-0.849038884347264,0.2240111156527358,0.0,-0.007009469616969355,0.007009469616969355
apmd_local_identifiability_dot_ridge,session_20260624_155402,1,2.15,-1.0098499999999997,-1.2670102814751552,0.25716028147515546,0.0,0.0018837784436884775,0.0018837784436884775
apmd_local_identifiability_dot_ridge,session_20260624_155402,1,2.25,-1.0956000000000001,-0.7325887098396233,0.3630112901603768,0.0,0.02825162167338302,0.02825162167338302
apmd_local_identifiability_dot_ridge,session_20260624_155402,1,2.35,-1.12995,-0.6588145708023214,0.4711354291976786,-0.020000000000000018,-0.004037312757706246,0.01596268724229377
apmd_local_identifiability_dot_ridge,session_20260624_155402,2,1.85,-0.8915499999999998,-0.7850880190867491,0.10646198091325076,-0.020000000000000018,-0.018185534708820006,0.0018144652911800119
apmd_local_identifiability_dot_ridge,session_20260624_155402,2,1.95,-0.9425999999999999,-0.7815260319035531,0.1610739680964468,0.0,-0.0042496496770489944,0.0042496496770489944
apmd_local_identifiability_dot_ridge,session_20260624_155402,2,2.05,-1.0619,-0.834750523028311,0.22714947697168908,0.0,-0.009744274446485734,0.009744274446485734
apmd_local_identifiability_dot_ridge,session_20260624_155402,2,2.15,-1.0040499999999999,-1.2373526398347403,0.23330263983474042,0.0,0.0013825249661594263,0.0013825249661594263
apmd_local_identifiability_dot_ridge,session_20260624_155402,2,2.25,-1.0927000000000002,-0.7731708761776206,0.31952912382237963,0.0,0.025486345091613405,0.025486345091613405
apmd_local_identifiability_dot_ridge,session_20260624_155402,2,2.35,-1.1362499999999995,-0.6664177041064487,0.4698322958935508,-0.020000000000000018,-0.005770235755345077,0.014229764244654941
apmd_local_identifiability_dot_ridge,session_20260624_155402,3,1.85,-0.8896999999999999,-0.7722599197670501,0.11744008023294983,-0.020000000000000018,-0.01815291340767078,0.001847086592329239
apmd_local_identifiability_dot_ridge,session_20260624_155402,3,1.95,-0.9342999999999999,-0.7732863370189778,0.16101366298102215,0.0,-0.004184233917918334,0.004184233917918334
apmd_local_identifiability_dot_ridge,session_20260624_155402,3,2.05,-1.05545,-0.8301200824053208,0.22532991759467924,0.0,-0.010208472798582058,0.010208472798582058
apmd_local_identifiability_dot_ridge,session_20260624_155402,3,2.15,-0.9927000000000001,-1.2154333241958586,0.22273332419585845,0.020000000000000018,0.005245255130525983,0.014754744869474035
apmd_local_identifiability_dot_ridge,session_20260624_155402,3,2.25,-1.0806499999999999,-0.7969429453117138,0.28370705468828605,0.0,0.026804498803504107,0.026804498803504107
apmd_local_identifiability_dot_ridge,session_20260624_155402,3,2.35,-1.1265,-0.6580235629975837,0.46847643700241637,-0.040000000000000036,-0.007701920831118425,0.03229807916888161
apmd_local_identifiability_dot_ridge,session_20260624_164026,1,1.85,-0.93295,-0.7208254066586708,0.21212459334132916,-0.020000000000000018,0.001627693847586098,0.021627693847586116
apmd_local_identifiability_dot_ridge,session_20260624_164026,1,1.95,-0.9843999999999999,-1.1279223901552689,0.1435223901552689,0.0,-0.0029622011627250533,0.0029622011627250533
apmd_local_identifiability_dot_ridge,session_20260624_164026,1,2.05,-1.1031,-0.936127417769109,0.16697258223089095,-0.020000000000000018,0.004353411429336873,0.02435341142933689
apmd_local_identifiability_dot_ridge,session_20260624_164026,1,2.15,-1.0322,-0.9603711844355507,0.07182881556444931,0.0,0.004218837038504564,0.004218837038504564
apmd_local_identifiability_dot_ridge,session_20260624_164026,1,2.25,-1.12365,-1.1784586399752337,0.054808639975233664,0.0,-0.01997019220316254,0.01997019220316254
apmd_local_identifiability_dot_ridge,session_20260624_164026,1,2.35,-1.1633,-1.0321091319003646,0.13119086809963543,-0.040000000000000036,-0.028025655959179385,0.01197434404082065
apmd_local_identifiability_dot_ridge,session_20260624_164026,2,1.85,-0.9151,-0.6917672614784056,0.2233327385215944,-0.020000000000000018,0.00480418529613269,0.024804185296132708
apmd_local_identifiability_dot_ridge,session_20260624_164026,2,1.95,-0.9670000000000001,-1.1540574079502983,0.18705740795029824,0.0,-0.0006977547160396114,0.0006977547160396114
apmd_local_identifiability_dot_ridge,session_20260624_164026,2,2.05,-1.0859,-0.9027032605257377,0.1831967394742624,-0.020000000000000018,0.0040221057248928105,0.024022105724892828
apmd_local_identifiability_dot_ridge,session_20260624_164026,2,2.15,-1.0180499999999997,-0.9528194999324242,0.06523050006757547,0.0,0.005449859669291346,0.005449859669291346
apmd_local_identifiability_dot_ridge,session_20260624_164026,2,2.25,-1.1146499999999997,-1.185457425463139,0.07080742546313923,-0.020000000000000018,-0.017113956154587218,0.0028860438454128
apmd_local_identifiability_dot_ridge,session_20260624_164026,2,2.35,-1.1631999999999998,-1.0326441895915819,0.1305558104084179,-0.040000000000000036,-0.029084055613175064,0.010915944386824972
apmd_local_identifiability_dot_ridge,session_20260624_164026,3,1.85,-0.9193999999999998,-0.6950529546272328,0.22434704537276695,-0.020000000000000018,0.0011595464539677636,0.02115954645396778
apmd_local_identifiability_dot_ridge,session_20260624_164026,3,1.95,-0.964,-1.1632832314796762,0.1992832314796762,0.0,-0.0018544705690821672,0.0018544705690821672
apmd_local_identifiability_dot_ridge,session_20260624_164026,3,2.05,-1.0873999999999997,-0.8928261002452134,0.19457389975478634,-0.020000000000000018,0.001985738353301958,0.021985738353301976
apmd_local_identifiability_dot_ridge,session_20260624_164026,3,2.15,-1.0159500000000001,-0.9637317233626996,0.0522182766373005,0.0,0.005338861125282257,0.005338861125282257
apmd_local_identifiability_dot_ridge,session_20260624_164026,3,2.25,-1.1113500000000003,-1.1894524722219337,0.07810247222193345,-0.020000000000000018,-0.017799817751059877,0.0022001822489401412
apmd_local_identifiability_dot_ridge,session_20260624_164026,3,2.35,-1.1611500000000001,-1.0321628605440223,0.12898713945597784,-0.040000000000000036,-0.029319027014062193,0.010680972985937842
apmd_local_identifiability_dual_ridge,session_20260615_160438,1,3.05,-2.1603000000000003,-1.7786186062811593,0.381681393718841,-0.020000000000000018,0.04215963000641576,0.06215963000641578
apmd_local_identifiability_dual_ridge,session_20260615_160438,1,3.15,-2.2179,-2.12348585111184,0.09441414888816002,0.0,0.046585404189879664,0.046585404189879664
apmd_local_identifiability_dual_ridge,session_20260615_160438,1,3.25,-2.4623,-2.3764154925401817,0.08588450745981824,-0.020000000000000018,0.022739386778913406,0.042739386778913424
