rank,same_d_target_d_mm,same_d_state_F_mid_N,same_F_target_F_N,same_F_state_d_mid_mm,d_distance_mm,F_distance_N,jF_x_uT_per_N,jF_y_uT_per_N,jF_z_uT_per_N,jF_norm_uT_per_N,jd_x_uT_per_mm,jd_y_uT_per_mm,jd_z_uT_per_mm,jd_norm_uT_per_mm,angle_deg,abs_cosine,condition_scaled,condition_raw,same_d_noise_ratio,same_F_noise_ratio,min_noise_ratio,directional_consistency_mean,locality_distance,locality_score,identifiability_score,verdict
21,2.6,2.562525,4.9,2.915,0.3250000000000002,2.3374750000000004,1.1644832605531295,194.7947598253275,72.33090732654053,207.7934422241273,54.63181818181818,1868.5545454545454,2305.609090909091,2968.217310942603,30.612781952958095,0.8606284449804568,3.653783037063158,28.152863244535933,11.01997,32.64685,11.01997,0.9985817514271528,2.0878386188494518,0.1130941016133726,0.042331560766628445,exploratory
22,3.0,4.1522250000000005,3.2,2.315,0.6750000000000003,0.9522250000000003,2.2145796229196093,180.12037093901617,66.58232512436282,192.04545922536514,49.17272727272727,2076.172727272727,1672.009090909091,2666.181830007315,18.560639021479403,0.9479873045903127,6.1198162274350745,43.818680516916565,15.53619,29.23457,15.53619,0.9997720839584621,2.0735709593602154,0.11650183421669352,0.030490204081905992,exploratory
23,3.4,6.463775,3.75,2.79,0.5999999999999996,2.713775,4.063041365614569,191.9753242912072,8.181011535048802,192.19251388019634,85.85714285714285,1695.6928571428568,2305.9107142857138,2863.558963423409,51.21463634606324,0.6264047071454544,2.0864770565265203,19.148012873586246,22.77521,40.08983,22.77521,0.9998840100167528,2.7662435450632463,0.021795501682860288,0.028244277330859126,exploratory
24,2.4,1.9677,4.3,2.795,0.40500000000000025,2.3323,-2.779833487511563,141.77150786308974,31.341350601295094,145.22110099260956,49.17272727272727,1884.9590909090907,2477.195454545454,3113.195472746439,40.31335674427045,0.7625175298803789,2.7242749926439167,33.17750851643215,6.27936,34.27409,6.27936,0.9993116331760348,2.195526929335356,0.08980009473506417,0.025240594075047994,exploratory
25,2.8,3.33985,2.5,2.1100000000000003,0.6799999999999997,0.8398500000000002,0.8606616067592725,139.42718029500213,49.90405269941286,148.09150488546652,42.92857142857142,1699.9785714285713,1424.342857142857,2218.2250968409635,20.277940053414028,0.9380224418063607,5.591935713335956,43.388994690766225,10.34123,31.1406,10.34123,0.99967951200106,2.055752079398442,0.12086775004224057,0.025172861506588907,exploratory
26,2.4,1.9677,1.5,1.67,0.7199999999999998,0.4677,-2.779833487511563,141.77150786308974,31.341350601295094,145.22110099260956,7.512499999999999,1694.08125,1282.6125,2124.8676533878674,24.696932237224807,0.9085305498977824,4.567846738781209,35.1550001403305,6.27936,33.998149999999995,6.27936,0.9993449544800778,2.0908927376347823,0.11237472648446167,0.019350845910245534,exploratory
27,2.6,2.562525,1.8,1.7850000000000001,0.8049999999999997,0.7625249999999999,1.1644832605531295,194.7947598253275,72.33090732654053,207.7934422241273,32.053333333333335,1935.2133333333334,1671.4333333333334,2557.2969028774633,20.449064796594996,0.9369831488932366,5.544144898471089,35.42991959086157,11.01997,38.359320000000004,11.01997,0.9987157414215494,2.379521884833169,0.05895020348388801,0.013294560650599564,exploratory
28,3.2,5.189025,3.2,2.315,0.8800000000000003,1.9890249999999998,4.323741007194244,202.60328879753342,32.33247687564234,205.21251528303037,49.17272727272727,2076.172727272727,1672.009090909091,2666.181830007315,29.77294378216889,0.8680000376936807,3.7618505390506396,26.28134046860462,20.05794,29.23457,20.05794,0.9997378903193124,2.9755022670905884,0.011952594983708369,0.007928918460638808,exploratory
29,3.6,8.13085,4.9,2.915,0.6749999999999998,3.23085,1.1360342763530968,129.88658559637074,14.02810156889925,130.6468649657838,54.63181818181818,1868.5545454545454,2305.609090909091,2968.217310942603,44.8120907078137,0.7094220269533457,2.4254554548252107,32.26742853775933,20.73496,32.64685,20.73496,0.9996599607585197,3.224896658422102,0.005516679007883926,0.005693586348513074,exploratory
30,2.4,1.9677,4.9,2.915,0.5250000000000004,2.9323000000000006,-2.779833487511563,141.77150786308974,31.341350601295094,145.22110099260956,54.63181818181818,1868.5545454545454,2305.609090909091,2968.217310942603,38.56927497803512,0.7818549172111385,2.8580081041331833,32.83164886939867,6.27936,32.64685,6.27936,0.9992113063128807,2.7844147150882543,0.020723589196977723,0.005572327871759174,exploratory
