experiment,path_family,source_kind,source_pair_csv,session_id,trial,pair_id,target_label,target_F_N,d_target_mm,d_preload_mm,preload_extra_mm,preload_hold_s,recovery_s,d_direct_mm,d_return_mm,delta_d_mm,abs_delta_d_mm,F_direct_N,F_return_N,delta_F_N,abs_delta_F_N,delta_Bmag_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,delta_Bvec_uT,verdict,same_d_ok,same_F_ok,force_split_ok,disp_split_ok,b_signal_ok,raw_file_found,raw_file,raw_file_warning
3.2 same-F/different-d work-zone scan,same_F_different_d,report_replicates,reports\experiment_3_2_same_f_different_d_figure_data_replicates.csv,session_20260611_153032,2,2,,3.75,,,,,,2.72,2.86,0.14,0.14,3.63605,3.6481,0.01205,0.01205,411.9262,12.02,240.4,340.736,417.1782,accepted,1,1,1,1,1,1,decouple_data\session_20260611_153032\same_f_different_d_scan_375_rep2.csv,
3.2 same-F/different-d work-zone scan,same_F_different_d,report_replicates,reports\experiment_3_2_same_f_different_d_figure_data_replicates.csv,session_20260611_155956,1,3,,3.75,,,,,,2.59,2.73,0.14,0.14,3.6561,3.653,-0.0031,0.0031,397.1396,12.02,237.397,322.8275,400.8983,accepted,1,1,1,1,1,1,decouple_data\session_20260611_155956\same_f_different_d_scan_375_rep1.csv,
3.2 same-F/different-d work-zone scan,same_F_different_d,report_replicates,reports\experiment_3_2_same_f_different_d_figure_data_replicates.csv,session_20260611_164622,1,1,,4.3,,,,,,2.75,2.86,0.11,0.11,4.1658,4.1571,-0.0087,0.0087,340.8552,4.808,210.35,270.557,342.7409,accepted,1,1,1,1,1,1,decouple_data\session_20260611_164622\same_f_different_d_scan_430_rep1.csv,
3.2 same-F/different-d work-zone scan,same_F_different_d,report_replicates,reports\experiment_3_2_same_f_different_d_figure_data_replicates.csv,session_20260611_164622,2,2,,4.3,,,,,,2.72,2.83,0.11,0.11,4.1977,4.2051,0.0074,0.0074,340.7488,5.409,207.3455,272.4915,342.4515,accepted,1,1,1,1,1,1,decouple_data\session_20260611_164622\same_f_different_d_scan_430_rep2.csv,
3.2 same-F/different-d work-zone scan,same_F_different_d,report_replicates,reports\experiment_3_2_same_f_different_d_figure_data_replicates.csv,session_20260611_164622,3,3,,4.3,,,,,,2.74,2.85,0.11,0.11,4.2074,4.2295,0.0221,0.0221,342.5125,5.409,203.742,277.816,344.5603,accepted,1,1,1,1,1,1,decouple_data\session_20260611_164622\same_f_different_d_scan_430_rep3.csv,
3.2 same-F/different-d work-zone scan,same_F_different_d,report_replicates,reports\experiment_3_2_same_f_different_d_figure_data_replicates.csv,session_20260611_173832,2,1,,4.9,,,,,,2.89,3.0,0.11,0.11,4.8261,4.8047,-0.0214,0.0214,316.7296,6.9115,194.122,252.647,318.6873,accepted,1,1,1,1,1,1,decouple_data\session_20260611_173832\same_f_different_d_scan_490_rep2.csv,
3.2 same-F/different-d work-zone scan,same_F_different_d,report_replicates,reports\experiment_3_2_same_f_different_d_figure_data_replicates.csv,session_20260611_181124,1,2,,4.9,,,,,,2.85,2.98,0.13,0.13,4.70505,4.7475,0.04245,0.04245,455.257,6.0095,277.664,363.967,457.8268,accepted,1,1,1,1,1,1,decouple_data\session_20260611_181124\same_f_different_d_scan_490_rep1.csv,
3.2 same-F/different-d work-zone scan,same_F_different_d,report_replicates,reports\experiment_3_2_same_f_different_d_figure_data_replicates.csv,session_20260611_183729,1,3,,4.9,,,,,,2.75,2.86,0.11,0.11,4.73455,4.715,-0.01955,0.01955,325.7833,3.606,205.541,253.617,326.4685,accepted,1,1,1,1,1,1,decouple_data\session_20260611_183729\same_f_different_d_scan_490_rep1.csv,
3.3A same-d preload-depth dosage,same_d_different_F,session_pair_summary,decouple_data\session_20260612_155336\same_d_path_dosage_A_pair_summary.csv,session_20260612_155336,1,1,340,,3.4,3.6,,,,3.39,3.41,0.02,0.02,7.4956,6.5305,-0.9651,0.9651,178.6271,-1.202,149.046,107.447,183.7417,strong,1,1,1,1,1,1,decouple_data\session_20260612_155336\same_d_path_dosage_A_340_pre360_rep1.csv,
3.3A same-d preload-depth dosage,same_d_different_F,session_pair_summary,decouple_data\session_20260612_155336\same_d_path_dosage_A_pair_summary.csv,session_20260612_155336,2,1,340,,3.4,3.6,,,,3.38,3.4,0.02,0.02,7.8599,6.8571,-1.0028,1.0028,157.9948,-0.601,137.025,90.025,163.9534,strong,1,1,1,1,1,1,decouple_data\session_20260612_155336\same_d_path_dosage_A_340_pre360_rep2.csv,
3.3A same-d preload-depth dosage,same_d_different_F,session_pair_summary,decouple_data\session_20260612_155336\same_d_path_dosage_A_pair_summary.csv,session_20260612_155336,3,1,340,,3.4,3.6,,,,3.38,3.4,0.02,0.02,8.3384,7.2953,-1.0431,1.0431,144.458,-0.601,129.216,78.407,151.1449,strong,1,1,1,1,1,1,decouple_data\session_20260612_155336\same_d_path_dosage_A_340_pre360_rep3.csv,
3.3A same-d preload-depth dosage,same_d_different_F,session_pair_summary,decouple_data\session_20260612_155336\same_d_path_dosage_A_pair_summary.csv,session_20260612_155336,1,2,340,,3.4,3.7,,,,3.39,3.41,0.02,0.02,7.4944,6.2322,-1.2622,1.2622,189.2743,-4.207,192.32,81.312,208.8452,strong,1,1,1,1,1,1,decouple_data\session_20260612_155336\same_d_path_dosage_A_340_pre370_rep1.csv,
3.3A same-d preload-depth dosage,same_d_different_F,session_pair_summary,decouple_data\session_20260612_155336\same_d_path_dosage_A_pair_summary.csv,session_20260612_155336,2,2,340,,3.4,3.7,,,,3.38,3.4,0.02,0.02,7.7762,6.4787,-1.2975,1.2975,187.834,-3.606,187.514,83.248,205.1944,strong,1,1,1,1,1,1,decouple_data\session_20260612_155336\same_d_path_dosage_A_340_pre370_rep2.csv,
3.3A same-d preload-depth dosage,same_d_different_F,session_pair_summary,decouple_data\session_20260612_155336\same_d_path_dosage_A_pair_summary.csv,session_20260612_155336,3,2,340,,3.4,3.7,,,,3.38,3.4,0.02,0.02,7.7466,6.4553,-1.2913,1.2913,186.0285,-4.808,186.914,80.344,203.507,strong,1,1,1,1,1,1,decouple_data\session_20260612_155336\same_d_path_dosage_A_340_pre370_rep3.csv,
3.3A same-d preload-depth dosage,same_d_different_F,session_pair_summary,decouple_data\session_20260612_155336\same_d_path_dosage_A_pair_summary.csv,session_20260612_155336,1,3,340,,3.4,3.8,,,,3.38,3.4,0.02,0.02,7.7213,6.1976,-1.5237,1.5237,202.9416,-6.611,230.786,65.825,240.0808,strong,1,1,1,1,1,1,decouple_data\session_20260612_155336\same_d_path_dosage_A_340_pre380_rep1.csv,
3.3A same-d preload-depth dosage,same_d_different_F,session_pair_summary,decouple_data\session_20260612_155336\same_d_path_dosage_A_pair_summary.csv,session_20260612_155336,2,3,340,,3.4,3.8,,,,3.38,3.4,0.02,0.02,7.695,6.1761,-1.5189,1.5189,210.1117,-9.015,230.784,73.568,242.3938,strong,1,1,1,1,1,1,decouple_data\session_20260612_155336\same_d_path_dosage_A_340_pre380_rep2.csv,
