time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,nominal_d_mm,nominal_preload_d_mm,motion_depth_from_start_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1781638181.697261,session_20260616_152850,1,1,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,4.2527,0.049800,-451.9510,2603.5310,2582.6240,-2.7546,-1.7295,-2.5501,3694.9398,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638181.785908,session_20260616_152850,1,1,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,4.3413,0.049900,-450.7490,2606.5360,2593.2720,-1.5526,1.2755,8.0979,3704.3575,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638181.874735,session_20260616_152850,1,1,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,4.4297,0.049100,-448.3450,2604.1320,2592.3040,0.8514,-1.1285,7.1299,3701.6965,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638181.962776,session_20260616_152850,1,1,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,4.5183,0.049900,-450.1480,2605.3340,2593.2720,-0.9516,0.0735,8.0979,3703.4387,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638182.051824,session_20260616_152850,1,1,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,4.6067,0.049500,-442.9360,2604.7330,2589.3990,6.2604,-0.5275,4.2249,3699.4342,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638182.139281,session_20260616_152850,1,1,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,4.6954,0.050500,-448.9460,2602.3290,2587.4640,0.2504,-2.9315,2.2899,3697.1122,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638182.228917,session_20260616_152850,1,1,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,4.7836,0.049600,-449.5470,2611.9450,2588.4320,-0.3506,6.6845,3.2579,3704.6362,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638182.316413,session_20260616_152850,1,1,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,4.8724,0.049400,-450.1480,2605.9340,2588.4320,-0.9516,0.6735,3.2579,3700.4737,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638182.405810,session_20260616_152850,1,1,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,4.9607,0.050200,-445.9410,2605.3340,2586.4960,3.2554,0.0735,1.3219,3698.1874,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638182.493838,session_20260616_152850,1,1,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,5.0494,0.049600,-445.9410,2601.1270,2589.3990,3.2554,-4.1335,4.2249,3697.2574,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
