trial,hold_label,phase,control_mode,F_target_N,F_N,F_error_N,d_actual_mm,mark10_pos_mm,t_rel_s,control_action,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
1,90,holding,force_hold,0.81000,0.810100,0.000100,3.1100,-4.9000,28.3456,none,48.0790,-4165.5300,-4442.1520,34.8580,-690.4745,-2891.4967,6089.8823
1,90,holding,force_hold,0.81000,0.807300,-0.002700,3.1100,-4.9000,28.3460,none,48.6800,-4163.7260,-4440.2160,35.4590,-688.6705,-2889.5607,6087.2409
1,90,holding,force_hold,0.81000,0.807300,-0.002700,3.1100,-4.9000,28.3464,none,48.6800,-4166.7310,-4443.1190,35.4590,-691.6755,-2892.4637,6091.4139
1,90,holding,force_hold,0.81000,0.804900,-0.005100,3.1100,-4.9000,28.3468,none,48.0790,-4164.9290,-4443.1190,34.8580,-689.8735,-2892.4637,6090.1766
1,90,holding,force_hold,0.81000,0.804100,-0.005900,3.1100,-4.9000,28.3472,none,47.4790,-4164.9290,-4442.1520,34.2580,-689.8735,-2891.4967,6089.4665
1,90,holding,force_hold,0.81000,0.804700,-0.005300,3.1100,-4.9000,28.3476,none,48.0790,-4166.1320,-4440.2160,34.8580,-691.0765,-2889.5607,6088.8821
1,90,holding,force_hold,0.81000,0.804200,-0.005800,3.1100,-4.9000,28.3480,none,48.0790,-4164.9290,-4442.1520,34.8580,-689.8735,-2891.4967,6089.4712
1,90,holding,force_hold,0.81000,0.804500,-0.005500,3.1100,-4.9000,28.3484,none,48.0790,-4163.7260,-4442.1520,34.8580,-688.6705,-2891.4967,6088.6485
1,90,holding,force_hold,0.81000,0.806500,-0.003500,3.1100,-4.9000,28.3488,none,48.0790,-4165.5300,-4442.1520,34.8580,-690.4745,-2891.4967,6089.8823
1,90,holding,force_hold,0.81000,0.805100,-0.004900,3.1100,-4.9000,28.3492,none,48.6800,-4165.5300,-4442.1520,35.4590,-690.4745,-2891.4967,6089.8871
1,90,holding,force_hold,0.81000,0.802900,-0.007100,3.1100,-4.9000,28.3497,none,49.2810,-4164.9290,-4442.1520,36.0600,-689.8735,-2891.4967,6089.4808
1,90,holding,force_hold,0.81000,0.803700,-0.006300,3.1100,-4.9000,28.3500,none,48.6800,-4164.9290,-4441.1840,35.4590,-689.8735,-2890.5287,6088.7699
1,90,holding,force_hold,0.81000,0.805400,-0.004600,3.1100,-4.9000,28.3504,none,48.0790,-4164.9290,-4441.1840,34.8580,-689.8735,-2890.5287,6088.7651
1,90,holding,force_hold,0.81000,0.804500,-0.005500,3.1100,-4.9000,28.3509,none,48.0790,-4165.5300,-4443.1190,34.8580,-690.4745,-2892.4637,6090.5877
1,90,holding,force_hold,0.81000,0.802400,-0.007600,3.1100,-4.9000,28.3513,none,47.4790,-4166.1320,-4443.1190,34.2580,-691.0765,-2892.4637,6090.9947
1,90,holding,force_hold,0.81000,0.803800,-0.006200,3.1100,-4.9000,28.3517,none,48.0790,-4165.5300,-4442.1520,34.8580,-690.4745,-2891.4967,6089.8823
