time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,d_target_mm,d_preload_mm,d_actual_mm,d_mm,q_mm,d_error_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,note
1780345054.926343,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,4.7142,1.921900,1031.9160,-5139.1490,9075.9680,330.4431,-5751.5473,4525.7567,10480.8825,,,
1780345055.014856,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,4.8020,1.920100,1028.3100,-5138.5460,9074.0310,326.8371,-5750.9443,4523.8197,10478.5550,,,
1780345055.103345,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,4.8901,1.918200,1030.1130,-5137.9490,9074.0310,328.6401,-5750.3473,4523.8197,10478.4394,,,
1780345055.190744,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,4.9789,1.917900,1031.3150,-5142.7540,9080.8150,329.8421,-5755.1523,4530.6037,10486.7884,,,
1780345055.278880,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,5.0663,1.916400,1036.1230,-5137.9490,9080.8150,334.6501,-5750.3473,4530.6037,10484.9069,,,
1780345055.366720,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,5.1544,1.917900,1036.7240,-5132.5380,9076.9380,335.2511,-5744.9363,4526.7267,10478.9573,,,
1780345055.455229,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,5.2422,1.918000,1033.1190,-5140.9520,9070.1600,331.6461,-5753.3503,4519.9487,10476.8566,,,
1780345055.542913,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,5.3302,1.917000,1028.9120,-5131.3360,9076.9380,327.4391,-5743.7343,4526.7267,10477.5986,,,
1780345055.630917,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,5.4182,1.918200,1030.7140,-5137.9490,9072.0950,329.2411,-5750.3473,4521.8837,10476.8220,,,
1780345055.718507,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,5.5061,1.916500,1033.1190,-5133.1410,9072.0950,331.6461,-5745.5393,4521.8837,10474.7019,,,
1780345055.806675,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,5.5941,1.917900,1034.3200,-5134.3430,9073.0610,332.8471,-5746.7413,4522.8497,10476.2461,,,
1780345055.894878,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,5.6822,1.917500,1035.5220,-5136.1440,9076.9380,334.0491,-5748.5423,4526.7267,10480.6052,,,
1780345055.982452,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,5.7703,1.915500,1033.7200,-5136.1440,9075.9680,332.2471,-5748.5423,4525.7567,10479.5872,,,
1780345056.070817,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,5.8583,1.914600,1029.5120,-5133.7410,9074.0310,328.0391,-5746.1393,4523.8197,10476.3176,,,
1780345056.158900,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,5.9461,1.917300,1033.1190,-5134.3430,9075.9680,331.6461,-5746.7413,4525.7567,10478.6453,,,
1780345056.246557,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,6.0342,1.915400,1034.3200,-5134.9430,9081.7750,332.8471,-5747.3413,4531.5637,10484.0877,,,
1780345056.334921,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,6.1222,1.914900,1031.9160,-5138.5460,9088.5540,330.4431,-5750.9443,4538.3427,10491.4880,,,
1780345056.423016,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,6.2102,1.913900,1029.5120,-5137.3460,9077.9040,328.0391,-5749.7443,4527.6927,10481.4388,,,
1780345056.511017,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,6.2983,1.913500,1033.7200,-5136.7440,9070.1600,332.2471,-5749.1423,4519.9487,10474.8517,,,
